날짜,오전 강수 확률,오후 강수 확률,최저 온도,최고 온도
4.08.,0,0,9,19
4.09.,20,60,8,18
4.10.,70,20,10,19
4.11.,0,20,9,21
4.12.,70,90,10,14
4.13.,80,70,5,10
4.14.,40,40,6,13
4.19.,70,80,15,18
4.20.,20,20,11,23
4.21.,0,0,12,25
4.22.,70,30,17,21
4.23.,0,0,13,25
4.24.,0,0,11,20
4.25.,0,0,7,17
4.26.,0,0,7,19
4.27.,30,30,10,20
4.28.,40,20,9,19
4.30.,0,20,12,26
5.01.,90,90,14,18
5.02.,0,30,9,20
5.03.,40,20,11,16
5.04.,10,10,9,20
5.05.,30,30,10,20
5.06.,40,80,11,19
5.06.,20,30,10,21
5.07.,0,0,10,21
5.08.,0,10,10,24
5.09.,30,30,14,20
5.10.,40,40,13,20
5.11.,40,20,11,21
5.12.,10,10,13,23
